i,direction,te,ete,se,p,history length
Still 2,R->L,0.035529018,0,0.009069897,0.88,7
Still 2,L->R,0.046515587,0,0.008210551,0.38,8
Still 2,R->L,0.039945557,0,0.009909271,0.94,8
Still 2,L->R,0.045607687,0,0.008697881,0.65,9
Still 2,R->L,0.038397133,0,0.010144503,0.98,9
Still 2,L->R,0.045904959,0,0.007283553,0.63,10
Still 2,R->L,0.040367924,0,0.010497333,1,10
Still 2,L->R,0.044687904,0,0.007578983,0.89,11
Still 2,R->L,0.038042099,0,0.009816058,1,11
Still 2,L->R,0.040727377,0,0.008068735,0.97,12
Still 2,R->L,0.041046337,0,0.010258842,1,12
Still 2,L->R,0.037723285,0,0.008103888,0.99,13
Still 2,R->L,0.040853365,0,0.008446476,1,13
Still 2,L->R,0.038217859,0,0.00777477,1,14
Still 2,R->L,0.039791184,0,0.009508203,1,14
Still 2,L->R,0.036511365,0,0.007755761,1,15
Still 2,R->L,0.039559797,0,0.010071071,1,15
Still 2,L->R,0.03639609,0,0.007298305,1,16
Still 2,R->L,0.039283963,0,0.009184462,1,16
Still 2,L->R,0.043651878,0,0.00728289,0.99,17
Still 2,R->L,0.036575627,0,0.008228426,1,17
Still 2,L->R,0.040726548,0,0.007191568,0.99,18
Still 2,R->L,0.035037642,0,0.009304922,1,18
Still 2,L->R,0.036821092,0,0.006348107,1,19
Still 2,R->L,0.032665889,0,0.007911036,1,19
Still 2,L->R,0.033465845,0,0.006279718,1,20
Still 2,R->L,0.032574232,0,0.007656441,1,20
Still 3,L->R,0.00930235,0.006591874,0.001155941,0,1
Still 3,R->L,0.001788973,0,0.000942047,0.74,1
Still 3,L->R,0.015632846,0.003029973,0.002393366,0.03,2
Still 3,R->L,0.013181445,0.002862284,0.002044079,0.04,2
Still 3,L->R,0.022907647,0,0.003906976,0.1,3
Still 3,R->L,0.021720909,0.001189739,0.0035689,0.17,3
Still 3,L->R,0.035977703,0,0.005661917,0.03,4
Still 3,R->L,0.028206328,0,0.004934703,0.31,4
Still 3,L->R,0.048128724,0,0.006299054,0.01,5
Still 3,R->L,0.034564486,0,0.006521131,0.56,5
Still 3,L->R,0.052280616,0,0.006907892,0.05,6
Still 3,R->L,0.040963477,0,0.007849248,0.65,6
Still 3,L->R,0.055822245,0,0.007394806,0.06,7
Still 3,R->L,0.042921158,0,0.008276812,0.88,7
Still 3,L->R,0.052770863,0,0.008460595,0.47,8
Still 3,R->L,0.041707484,0,0.01078718,0.99,8
Still 3,L->R,0.048367236,0,0.007288643,0.9,9
Still 3,R->L,0.043248068,0,0.010051434,0.99,9
Still 3,L->R,0.046343506,0,0.009164811,0.96,10
Still 3,R->L,0.039590498,0,0.008729991,1,10
Still 3,L->R,0.040368622,0,0.00841001,1,11
Still 3,R->L,0.039354127,0,0.00975066,1,11
Still 3,L->R,0.038218653,0,0.007941715,1,12
Still 3,R->L,0.039885329,0,0.008674265,1,12
Still 3,L->R,0.039751283,0,0.008687377,1,13
Still 3,R->L,0.042143408,0,0.010143231,1,13
Still 3,L->R,0.038519141,0,0.00848558,1,14
Still 3,R->L,0.043531839,0,0.009351501,1,14
Still 3,L->R,0.037895412,0,0.007641416,1,15
Still 3,R->L,0.045081642,0,0.009027583,1,15
Still 3,L->R,0.033887248,0,0.008244394,1,16
Still 3,R->L,0.044694559,0,0.008522263,1,16
Still 3,L->R,0.032865859,0,0.007207271,1,17
Still 3,R->L,0.044478665,0,0.00921146,1,17
Still 3,L->R,0.028662867,0,0.007124203,1,18
Still 3,R->L,0.044571607,0,0.007972629,1,18
Still 3,L->R,0.027349923,0,0.007519543,1,19
Still 3,R->L,0.044897957,0,0.007535325,1,19
Still 3,L->R,0.025855519,0,0.00683999,1,20
Still 3,R->L,0.046167978,0,0.007927505,1,20
