i,direction,te,ete,se,p,history length
Still 1,R->L,0.05137128,0.003188101,0.006653709,0.01,4
Still 1,L->R,0.05272048,0,0.008507093,0.17,5
Still 1,R->L,0.056987076,0,0.007728972,0.06,5
Still 1,L->R,0.058889697,0,0.009408503,0.39,6
Still 1,R->L,0.058624884,0,0.009399548,0.34,6
Still 1,L->R,0.059987123,0,0.009407958,0.64,7
Still 1,R->L,0.058015933,0,0.009786053,0.8,7
Still 1,L->R,0.05983745,0,0.011779177,0.82,8
Still 1,R->L,0.062834793,0,0.00928219,0.92,8
Still 1,L->R,0.057775014,0,0.009991033,1,9
Still 1,R->L,0.067986654,0,0.010288678,0.9,9
Still 1,L->R,0.057430596,0,0.011089671,1,10
Still 1,R->L,0.065618154,0,0.011674802,0.97,10
Still 1,L->R,0.058378562,0,0.010407831,1,11
Still 1,R->L,0.06605018,0,0.010392849,0.98,11
Still 1,L->R,0.062786873,0,0.009769834,1,12
Still 1,R->L,0.066209982,0,0.008810099,1,12
Still 1,L->R,0.062862796,0,0.010185044,1,13
Still 1,R->L,0.062027076,0,0.008139434,1,13
Still 1,L->R,0.060299459,0,0.010389765,1,14
Still 1,R->L,0.061908919,0,0.009905421,1,14
Still 1,L->R,0.057890176,0,0.00904354,1,15
Still 1,R->L,0.06250926,0,0.009610505,1,15
Still 1,L->R,0.057785996,0,0.008530215,1,16
Still 1,R->L,0.063216031,0,0.008867204,1,16
Still 1,L->R,0.057934288,0,0.009439535,1,17
Still 1,R->L,0.063404567,0,0.009329138,1,17
Still 1,L->R,0.056611029,0,0.010285758,1,18
Still 1,R->L,0.062480215,0,0.008093362,1,18
Still 1,L->R,0.054160583,0,0.008388719,1,19
Still 1,R->L,0.05999409,0,0.008508098,1,19
Still 1,L->R,0.053904788,0,0.009124184,1,20
Still 1,R->L,0.055321767,0,0.008966088,1,20
Still 2,L->R,0.009309987,0.006739873,0.001191631,0,1
Still 2,R->L,0.007299211,0.004448757,0.001307996,0,1
Still 2,L->R,0.018434146,0.007735453,0.002006333,0,2
Still 2,R->L,0.01694682,0.005619843,0.002812469,0.05,2
Still 2,L->R,0.03188237,0.00915643,0.003906493,0,3
Still 2,R->L,0.030899191,0.006532353,0.004482117,0.02,3
Still 2,L->R,0.046784246,0.010352676,0.006127759,0,4
Still 2,R->L,0.040412919,0.000827973,0.006596318,0.13,4
Still 2,L->R,0.057626457,0.007462659,0.008155691,0.07,5
Still 2,R->L,0.048708643,0,0.007500224,0.17,5
