i,direction,te,ete,se,p,history length
Exaggerated 3,L->R,0.068788823,0,0.008120214,1,13
Exaggerated 3,R->L,0.056235482,0,0.011114129,1,13
Exaggerated 3,L->R,0.063240972,0,0.009576149,1,14
Exaggerated 3,R->L,0.058118998,0,0.010945113,1,14
Exaggerated 3,L->R,0.060351392,0,0.009424796,1,15
Exaggerated 3,R->L,0.060225075,0,0.010083634,1,15
Exaggerated 3,L->R,0.058705675,0,0.009869775,1,16
Exaggerated 3,R->L,0.062230348,0,0.01024216,1,16
Exaggerated 3,L->R,0.056141732,0,0.008733466,1,17
Exaggerated 3,R->L,0.061545669,0,0.009456325,1,17
Exaggerated 3,L->R,0.053203461,0,0.00836454,1,18
Exaggerated 3,R->L,0.057874212,0,0.009983563,1,18
Exaggerated 3,L->R,0.053805471,0,0.010177573,1,19
Exaggerated 3,R->L,0.057663259,0,0.010476293,1,19
Exaggerated 3,L->R,0.053359583,0,0.008507234,1,20
Exaggerated 3,R->L,0.056570487,0,0.009906231,1,20
Still 1,L->R,0.013302799,0.010191323,0.001424412,0,1
Still 1,R->L,0.013934451,0.010654164,0.001235277,0,1
Still 1,L->R,0.0209507,0.008430885,0.002642932,0,2
Still 1,R->L,0.0186738,0.007483667,0.002659667,0.01,2
Still 1,L->R,0.030515643,0.007007734,0.00426664,0,3
Still 1,R->L,0.023695332,0.003756309,0.003449842,0.02,3
Still 1,L->R,0.037885441,0.001395343,0.005087903,0.01,4
Still 1,R->L,0.02617645,0,0.005147799,0.38,4
Still 1,L->R,0.046344513,0,0.006334849,0.03,5
Still 1,R->L,0.029769558,0,0.00640755,0.62,5
Still 1,L->R,0.055455458,0,0.007446903,0.02,6
Still 1,R->L,0.032592612,0,0.008987796,0.74,6
Still 1,L->R,0.061461948,0,0.008519539,0.02,7
Still 1,R->L,0.033488017,0,0.009299739,0.94,7
Still 1,L->R,0.052673742,0,0.009213446,0.42,8
Still 1,R->L,0.035322958,0,0.009510953,1,8
Still 1,L->R,0.047346824,0,0.009135534,0.89,9
Still 1,R->L,0.036875798,0,0.009576923,1,9
Still 1,L->R,0.040103155,0,0.009307541,1,10
Still 1,R->L,0.040484715,0,0.00945812,1,10
Still 1,L->R,0.038647978,0,0.00966076,1,11
Still 1,R->L,0.043254822,0,0.010252561,1,11
Still 1,L->R,0.037321683,0,0.008950952,1,12
Still 1,R->L,0.0405029,0,0.009748131,1,12
Still 1,L->R,0.03685084,0,0.008985762,1,13
Still 1,R->L,0.043359852,0,0.009161984,1,13
Still 1,L->R,0.033882225,0,0.009388202,1,14
Still 1,R->L,0.043438362,0,0.009110078,1,14
Still 1,L->R,0.037489263,0,0.009081702,1,15
Still 1,R->L,0.044693207,0,0.008148088,1,15
Still 1,L->R,0.036285558,0,0.00961917,1,16
Still 1,R->L,0.045660943,0,0.008669027,1,16
Still 1,L->R,0.034575579,0,0.007931106,1,17
Still 1,R->L,0.045178188,0,0.008962202,1,17
Still 1,L->R,0.033258647,0,0.008117974,1,18
Still 1,R->L,0.042775873,0,0.00963407,1,18
Still 1,L->R,0.032923893,0,0.009750375,1,19
Still 1,R->L,0.044584516,0,0.008546544,1,19
Still 1,L->R,0.033553014,0,0.008041313,1,20
Still 1,R->L,0.045383724,0,0.007164309,1,20
Still 2,L->R,0.010337911,0.007522801,0.000967877,0,1
Still 2,R->L,0.008732541,0.005874437,0.000961807,0,1
Still 2,L->R,0.024085371,0.012737851,0.002498465,0,2
Still 2,R->L,0.015343915,0.004478587,0.002586375,0.04,2
Still 2,L->R,0.029732213,0.007916291,0.003549793,0,3
Still 2,R->L,0.01959337,0.000485121,0.002942131,0.03,3
Still 2,L->R,0.036657831,0.00355503,0.004349491,0,4
Still 2,R->L,0.022154639,0,0.004540609,0.38,4
Still 2,L->R,0.041089872,0,0.005539103,0.01,5
Still 2,R->L,0.026103953,0,0.005604503,0.63,5
Still 2,L->R,0.044663271,0,0.007109895,0.1,6
Still 2,R->L,0.031126399,0,0.00780454,0.57,6
Still 2,L->R,0.043787469,0,0.00844697,0.31,7
Still 2,R->L,0.030414934,0,0.007184486,0.93,7
Still 2,L->R,0.042086669,0,0.008863705,0.67,8
Still 2,R->L,0.02884163,0,0.008323669,0.99,8
Still 2,L->R,0.038611387,0,0.007940939,0.99,9
Still 2,R->L,0.028070965,0,0.008467299,1,9
Still 2,L->R,0.041508237,0,0.009114597,0.93,10
Still 2,R->L,0.026040446,0,0.008316795,1,10
Still 2,L->R,0.041489407,0,0.009269009,0.95,11
Still 2,R->L,0.023603723,0,0.009317047,1,11
Still 2,L->R,0.041140387,0,0.008649426,1,12
Still 2,R->L,0.022653118,0,0.007907655,1,12
Still 2,L->R,0.041495316,0,0.008718889,1,13
Still 2,R->L,0.025561433,0,0.009254004,1,13
Still 2,L->R,0.040640249,0,0.008897589,1,14
Still 2,R->L,0.024848259,0,0.010012981,1,14
Still 2,L->R,0.040346062,0,0.008628528,1,15
Still 2,R->L,0.025061439,0,0.009647288,1,15
Still 2,L->R,0.039809189,0,0.008098357,1,16
Still 2,R->L,0.024600259,0,0.008044823,1,16
Still 2,L->R,0.042480359,0,0.008571122,1,17
Still 2,R->L,0.024957018,0,0.009104719,1,17
Still 2,L->R,0.043705988,0,0.00823196,1,18
Still 2,R->L,0.025562893,0,0.007725038,1,18
Still 2,L->R,0.044528632,0,0.007009852,1,19
Still 2,R->L,0.025964569,0,0.007067737,1,19
Still 2,L->R,0.044076842,0,0.008568056,1,20
Still 2,R->L,0.025197915,0,0.007796106,1,20
Still 3,L->R,0.019683008,0.01707843,0.001052234,0,1
Still 3,R->L,0.007754188,0.004696729,0.001085835,0,1
Still 3,L->R,0.025730158,0.014093317,0.002157627,0,2
Still 3,R->L,0.016206644,0.006399524,0.002413417,0,2
Still 3,L->R,0.033845676,0.011097529,0.003519842,0,3
Still 3,R->L,0.022883375,0.002665899,0.003175822,0.02,3
Still 3,L->R,0.041816157,0.00600926,0.004983203,0,4
Still 3,R->L,0.029143726,0,0.005164655,0.21,4
Still 3,L->R,0.043649396,0,0.006660099,0.04,5
Still 3,R->L,0.032295536,0,0.005913319,0.38,5
Still 3,L->R,0.044533763,0,0.006318759,0.1,6
Still 3,R->L,0.035947451,0,0.00748356,0.52,6
Still 3,L->R,0.052157831,0,0.009008202,0.19,7
Still 3,R->L,0.039488583,0,0.007288242,0.77,7
Still 3,L->R,0.046038014,0,0.007821399,0.71,8
Still 3,R->L,0.041724375,0,0.008610916,0.93,8
Still 3,L->R,0.04615044,0,0.00682572,0.95,9
Still 3,R->L,0.043854197,0,0.009128466,0.96,9
Still 3,L->R,0.044661606,0,0.009686197,0.98,10
Still 3,R->L,0.045312071,0,0.010044409,0.99,10
Still 3,L->R,0.044942853,0,0.008585511,1,11
Still 3,R->L,0.044504978,0,0.009222047,1,11
Still 3,L->R,0.044001983,0,0.010050475,1,12
Still 3,R->L,0.046086595,0,0.009622199,1,12
Still 3,L->R,0.04244954,0,0.009425369,1,13
Still 3,R->L,0.045638274,0,0.010227722,1,13
Still 3,L->R,0.042594636,0,0.010253634,1,14
Still 3,R->L,0.047257636,0,0.009377516,1,14
Still 3,L->R,0.040394544,0,0.007845033,1,15
Still 3,R->L,0.048933393,0,0.008577021,1,15
Still 3,L->R,0.039869381,0,0.009197563,1,16
Still 3,R->L,0.051490651,0,0.007802283,1,16
Still 3,L->R,0.041010773,0,0.008980171,1,17
Still 3,R->L,0.054504097,0,0.008211869,1,17
Still 3,L->R,0.038434315,0,0.008484967,1,18
Still 3,R->L,0.05423789,0,0.006379711,1,18
Still 3,L->R,0.035683483,0,0.007908179,1,19
Still 3,R->L,0.053605023,0,0.007778673,1,19
Still 3,L->R,0.034191279,0,0.008632996,1,20
Still 3,R->L,0.05135562,0,0.007970585,1,20
